t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.112399999999999878e+01,2.887600000000000122e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.118799999999999883e+01,2.881200000000000117e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.118799999999999883e+01,2.881200000000000117e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.122100000000000009e+01,2.877899999999999991e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.122100000000000009e+01,2.877899999999999991e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.125300000000000011e+01,2.874699999999999989e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.125300000000000011e+01,2.874699999999999989e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.125300000000000011e+01,2.874699999999999989e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.135000000000000142e+01,2.864999999999999858e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.141400000000000148e+01,2.858599999999999852e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.151099999999999923e+01,2.848900000000000077e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.154299999999999926e+01,2.845700000000000074e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.154299999999999926e+01,2.845700000000000074e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.160699999999999932e+01,2.839300000000000068e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.170400000000000063e+01,2.829599999999999937e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.180099999999999838e+01,2.819900000000000162e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.192999999999999972e+01,2.807000000000000028e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.205900000000000105e+01,2.794099999999999895e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.212300000000000111e+01,2.787699999999999889e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.225199999999999889e+01,2.774800000000000111e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.247800000000000153e+01,2.752199999999999847e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.251000000000000156e+01,2.748999999999999844e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.260600000000000165e+01,2.739399999999999835e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.283200000000000074e+01,2.716799999999999926e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.308999999999999986e+01,2.691000000000000014e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.321900000000000119e+01,2.678099999999999881e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.337999999999999901e+01,2.662000000000000099e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,2.652299999999999969e+01
2.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.379899999999999949e+01,2.620100000000000051e+01
2.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.399200000000000088e+01,2.600799999999999912e+01
3.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.415299999999999869e+01,2.584700000000000131e+01
3.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.437900000000000134e+01,2.562099999999999866e+01
3.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.444300000000000139e+01,2.555699999999999861e+01
3.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.476599999999999824e+01,2.523400000000000176e+01
3.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.505600000000000094e+01,2.494399999999999906e+01
3.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.512000000000000099e+01,2.487999999999999901e+01
3.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.541000000000000014e+01,2.458999999999999986e+01
3.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.573199999999999932e+01,2.426800000000000068e+01
