t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.989000000000000057e+01,2.010999999999999943e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.989000000000000057e+01,2.010999999999999943e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.992200000000000060e+01,2.007799999999999940e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.995400000000000063e+01,2.004599999999999937e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.995400000000000063e+01,2.004599999999999937e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.989000000000000057e+01,2.010999999999999943e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.985699999999999932e+01,2.014300000000000068e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.992200000000000060e+01,2.007799999999999940e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.995400000000000063e+01,2.004599999999999937e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.995400000000000063e+01,2.004599999999999937e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.992200000000000060e+01,2.007799999999999940e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.998600000000000065e+01,2.001399999999999935e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.005099999999999838e+01,1.994900000000000162e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.005099999999999838e+01,1.994900000000000162e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.011499999999999844e+01,1.988500000000000156e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.021199999999999974e+01,1.978800000000000026e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.021199999999999974e+01,1.978800000000000026e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.037300000000000111e+01,1.962699999999999889e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.040500000000000114e+01,1.959499999999999886e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.050199999999999889e+01,1.949800000000000111e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.066300000000000026e+01,1.933699999999999974e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.085600000000000165e+01,1.914399999999999835e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.088899999999999935e+01,1.911100000000000065e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.114600000000000080e+01,1.885399999999999920e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.117899999999999849e+01,1.882100000000000151e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.140399999999999991e+01,1.859600000000000009e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.150100000000000122e+01,1.849899999999999878e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.153300000000000125e+01,1.846699999999999875e+01
2.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.185500000000000043e+01,1.814499999999999957e+01
2.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.195200000000000173e+01,1.804799999999999827e+01
3.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.214600000000000080e+01,1.785399999999999920e+01
3.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.233899999999999864e+01,1.766100000000000136e+01
3.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.246800000000000352e+01,1.753199999999999648e+01
3.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.266100000000000136e+01,1.733899999999999864e+01
3.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.285399999999999920e+01,1.714600000000000080e+01
3.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.307999999999999829e+01,1.692000000000000171e+01
3.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.336999999999999744e+01,1.663000000000000256e+01
3.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.343500000000000227e+01,1.656499999999999773e+01
3.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.365999999999999659e+01,1.634000000000000341e+01
3.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.385399999999999920e+01,1.614600000000000080e+01
4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.407900000000000063e+01,1.592099999999999937e+01
