t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
1.000000000000000000e+00,5.000000000000000000e+01,2.323600000000000065e+01,2.676399999999999935e+01,2.323600000000000065e+01
2.000000000000000000e+00,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
3.000000000000000000e+00,5.000000000000000000e+01,2.323600000000000065e+01,2.676399999999999935e+01,2.323600000000000065e+01
4.000000000000000000e+00,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
5.000000000000000000e+00,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
6.000000000000000000e+00,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
7.000000000000000000e+00,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
8.000000000000000000e+00,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
9.000000000000000000e+00,5.000000000000000000e+01,2.333299999999999841e+01,2.666700000000000159e+01,2.333299999999999841e+01
1.000000000000000000e+01,5.000000000000000000e+01,2.333299999999999841e+01,2.666700000000000159e+01,2.333299999999999841e+01
1.100000000000000000e+01,5.000000000000000000e+01,2.336499999999999844e+01,2.663500000000000156e+01,2.336499999999999844e+01
1.200000000000000000e+01,5.000000000000000000e+01,2.333299999999999841e+01,2.666700000000000159e+01,2.333299999999999841e+01
1.300000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
1.400000000000000000e+01,5.000000000000000000e+01,2.330099999999999838e+01,2.669900000000000162e+01,2.330099999999999838e+01
1.500000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
1.600000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
1.700000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
1.800000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
1.900000000000000000e+01,5.000000000000000000e+01,2.323600000000000065e+01,2.676399999999999935e+01,2.323600000000000065e+01
2.000000000000000000e+01,5.000000000000000000e+01,2.317200000000000060e+01,2.682799999999999940e+01,2.317200000000000060e+01
2.100000000000000000e+01,5.000000000000000000e+01,2.326899999999999835e+01,2.673100000000000165e+01,2.326899999999999835e+01
2.200000000000000000e+01,5.000000000000000000e+01,2.320400000000000063e+01,2.679599999999999937e+01,2.320400000000000063e+01
2.300000000000000000e+01,5.000000000000000000e+01,2.310699999999999932e+01,2.689300000000000068e+01,2.310699999999999932e+01
2.400000000000000000e+01,5.000000000000000000e+01,2.307499999999999929e+01,2.692500000000000071e+01,2.307499999999999929e+01
2.500000000000000000e+01,5.000000000000000000e+01,2.301099999999999923e+01,2.698900000000000077e+01,2.301099999999999923e+01
2.600000000000000000e+01,5.000000000000000000e+01,2.297899999999999920e+01,2.702100000000000080e+01,2.297899999999999920e+01
2.700000000000000000e+01,5.000000000000000000e+01,2.297899999999999920e+01,2.702100000000000080e+01,2.297899999999999920e+01
2.800000000000000000e+01,5.000000000000000000e+01,2.294600000000000151e+01,2.705399999999999849e+01,2.294600000000000151e+01
2.900000000000000000e+01,5.000000000000000000e+01,2.297899999999999920e+01,2.702100000000000080e+01,2.297899999999999920e+01
3.000000000000000000e+01,5.000000000000000000e+01,2.291400000000000148e+01,2.708599999999999852e+01,2.291400000000000148e+01
3.100000000000000000e+01,5.000000000000000000e+01,2.285000000000000142e+01,2.714999999999999858e+01,2.285000000000000142e+01
3.200000000000000000e+01,5.000000000000000000e+01,2.285000000000000142e+01,2.714999999999999858e+01,2.285000000000000142e+01
3.300000000000000000e+01,5.000000000000000000e+01,2.285000000000000142e+01,2.714999999999999858e+01,2.285000000000000142e+01
3.400000000000000000e+01,5.000000000000000000e+01,2.272100000000000009e+01,2.727899999999999991e+01,2.272100000000000009e+01
3.500000000000000000e+01,5.000000000000000000e+01,2.272100000000000009e+01,2.727899999999999991e+01,2.272100000000000009e+01
3.600000000000000000e+01,5.000000000000000000e+01,2.265599999999999881e+01,2.734400000000000119e+01,2.265599999999999881e+01
3.700000000000000000e+01,5.000000000000000000e+01,2.265599999999999881e+01,2.734400000000000119e+01,2.265599999999999881e+01
3.800000000000000000e+01,5.000000000000000000e+01,2.259199999999999875e+01,2.740800000000000125e+01,2.259199999999999875e+01
3.900000000000000000e+01,5.000000000000000000e+01,2.252700000000000102e+01,2.747299999999999898e+01,2.252700000000000102e+01
4.000000000000000000e+01,5.000000000000000000e+01,2.259199999999999875e+01,2.740800000000000125e+01,2.259199999999999875e+01
4.100000000000000000e+01,5.000000000000000000e+01,2.246300000000000097e+01,2.753699999999999903e+01,2.246300000000000097e+01
4.200000000000000000e+01,5.000000000000000000e+01,2.249500000000000099e+01,2.750499999999999901e+01,2.249500000000000099e+01
4.300000000000000000e+01,5.000000000000000000e+01,2.236599999999999966e+01,2.763400000000000034e+01,2.236599999999999966e+01
4.400000000000000000e+01,5.000000000000000000e+01,2.233399999999999963e+01,2.766600000000000037e+01,2.233399999999999963e+01
4.500000000000000000e+01,5.000000000000000000e+01,2.226999999999999957e+01,2.773000000000000043e+01,2.226999999999999957e+01
4.600000000000000000e+01,5.000000000000000000e+01,2.226999999999999957e+01,2.773000000000000043e+01,2.226999999999999957e+01
4.700000000000000000e+01,5.000000000000000000e+01,2.214099999999999824e+01,2.785900000000000176e+01,2.214099999999999824e+01
4.800000000000000000e+01,5.000000000000000000e+01,2.201200000000000045e+01,2.798799999999999955e+01,2.201200000000000045e+01
4.900000000000000000e+01,5.000000000000000000e+01,2.207600000000000051e+01,2.792399999999999949e+01,2.207600000000000051e+01
5.000000000000000000e+01,5.000000000000000000e+01,2.201200000000000045e+01,2.798799999999999955e+01,2.201200000000000045e+01
5.100000000000000000e+01,5.000000000000000000e+01,2.201200000000000045e+01,2.798799999999999955e+01,2.201200000000000045e+01
5.200000000000000000e+01,5.000000000000000000e+01,2.197899999999999920e+01,2.802100000000000080e+01,2.197899999999999920e+01
