t,Tref,u,T1,e
3.200000000000000000e+01,5.000000000000000000e+01,9.635999999999998522e+01,3.072800000000000153e+01,1.927199999999999847e+01
3.300000000000000000e+01,5.000000000000000000e+01,9.571999999999999886e+01,3.085600000000000165e+01,1.914399999999999835e+01
3.400000000000000000e+01,5.000000000000000000e+01,9.459000000000000341e+01,3.108200000000000074e+01,1.891799999999999926e+01
3.500000000000000000e+01,5.000000000000000000e+01,9.394500000000000739e+01,3.121099999999999852e+01,1.878900000000000148e+01
3.600000000000000000e+01,5.000000000000000000e+01,9.281499999999999773e+01,3.143700000000000117e+01,1.856299999999999883e+01
3.700000000000000000e+01,5.000000000000000000e+01,9.185000000000000853e+01,3.162999999999999901e+01,1.837000000000000099e+01
3.800000000000000000e+01,5.000000000000000000e+01,9.104500000000000171e+01,3.179100000000000037e+01,1.820899999999999963e+01
3.900000000000000000e+01,5.000000000000000000e+01,8.959499999999998465e+01,3.208100000000000307e+01,1.791899999999999693e+01
4.000000000000000000e+01,5.000000000000000000e+01,8.781999999999999318e+01,3.243599999999999994e+01,1.756400000000000006e+01
4.100000000000000000e+01,5.000000000000000000e+01,8.734000000000001762e+01,3.253199999999999648e+01,1.746800000000000352e+01
4.200000000000000000e+01,5.000000000000000000e+01,8.620999999999997954e+01,3.275800000000000267e+01,1.724199999999999733e+01
4.300000000000000000e+01,5.000000000000000000e+01,8.508500000000000796e+01,3.298299999999999699e+01,1.701700000000000301e+01
4.400000000000000000e+01,5.000000000000000000e+01,8.395499999999998408e+01,3.320900000000000318e+01,1.679099999999999682e+01
4.500000000000000000e+01,5.000000000000000000e+01,8.202000000000001023e+01,3.359599999999999653e+01,1.640400000000000347e+01
4.600000000000000000e+01,5.000000000000000000e+01,8.153999999999999204e+01,3.369200000000000017e+01,1.630799999999999983e+01
4.700000000000000000e+01,5.000000000000000000e+01,8.089500000000001023e+01,3.382099999999999795e+01,1.617900000000000205e+01
4.800000000000000000e+01,5.000000000000000000e+01,7.928000000000000114e+01,3.414399999999999835e+01,1.585600000000000165e+01
4.900000000000000000e+01,5.000000000000000000e+01,7.799499999999997613e+01,3.440100000000000335e+01,1.559899999999999665e+01
5.000000000000000000e+01,5.000000000000000000e+01,7.718499999999998806e+01,3.456300000000000239e+01,1.543699999999999761e+01
5.100000000000000000e+01,5.000000000000000000e+01,7.621999999999999886e+01,3.475600000000000023e+01,1.524399999999999977e+01
5.200000000000000000e+01,5.000000000000000000e+01,7.492999999999997840e+01,3.501400000000000290e+01,1.498599999999999710e+01
5.300000000000000000e+01,5.000000000000000000e+01,7.396500000000000341e+01,3.520700000000000074e+01,1.479299999999999926e+01
5.400000000000000000e+01,5.000000000000000000e+01,7.267499999999998295e+01,3.546500000000000341e+01,1.453499999999999659e+01
5.500000000000000000e+01,5.000000000000000000e+01,7.187000000000000455e+01,3.562599999999999767e+01,1.437400000000000233e+01
5.600000000000000000e+01,5.000000000000000000e+01,7.057999999999999829e+01,3.588400000000000034e+01,1.411599999999999966e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.945499999999998408e+01,3.610900000000000176e+01,1.389099999999999824e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.832499999999998863e+01,3.633500000000000085e+01,1.366499999999999915e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.719499999999999318e+01,3.656099999999999994e+01,1.343900000000000006e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.655500000000000682e+01,3.668900000000000006e+01,1.331099999999999994e+01
