t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.325100000000000122e+01,2.674899999999999878e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,2.652299999999999969e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.334799999999999898e+01,2.665200000000000102e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,2.652299999999999969e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.344399999999999906e+01,2.655600000000000094e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,2.652299999999999969e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,2.652299999999999969e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.344399999999999906e+01,2.655600000000000094e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.354100000000000037e+01,2.645899999999999963e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.350900000000000034e+01,2.649099999999999966e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.373400000000000176e+01,2.626599999999999824e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.370200000000000173e+01,2.629799999999999827e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.379899999999999949e+01,2.620100000000000051e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.379899999999999949e+01,2.620100000000000051e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.396000000000000085e+01,2.603999999999999915e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.386299999999999955e+01,2.613700000000000045e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.415299999999999869e+01,2.584700000000000131e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.412099999999999866e+01,2.587900000000000134e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.441100000000000136e+01,2.558899999999999864e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.447599999999999909e+01,2.552400000000000091e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.470100000000000051e+01,2.529899999999999949e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.470100000000000051e+01,2.529899999999999949e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.499099999999999966e+01,2.500900000000000034e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.505600000000000094e+01,2.494399999999999906e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.521699999999999875e+01,2.478300000000000125e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.537800000000000011e+01,2.462199999999999989e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.550700000000000145e+01,2.449299999999999855e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.576500000000000057e+01,2.423499999999999943e+01
2.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.586100000000000065e+01,2.413899999999999935e+01
2.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.605499999999999972e+01,2.394500000000000028e+01
3.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.634499999999999886e+01,2.365500000000000114e+01
3.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.657000000000000028e+01,2.342999999999999972e+01
3.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.673100000000000165e+01,2.326899999999999835e+01
3.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.689300000000000068e+01,2.310699999999999932e+01
3.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.724699999999999989e+01,2.275300000000000011e+01
3.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.734400000000000119e+01,2.265599999999999881e+01
3.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.760200000000000031e+01,2.239799999999999969e+01
3.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.785900000000000176e+01,2.214099999999999824e+01
3.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.808500000000000085e+01,2.191499999999999915e+01
3.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.831099999999999994e+01,2.168900000000000006e+01
4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.856800000000000139e+01,2.143199999999999861e+01
4.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.882600000000000051e+01,2.117399999999999949e+01
4.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.901999999999999957e+01,2.098000000000000043e+01
4.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.927700000000000102e+01,2.072299999999999898e+01
4.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.956700000000000017e+01,2.043299999999999983e+01
4.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.979299999999999926e+01,2.020700000000000074e+01
4.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.005099999999999838e+01,1.994900000000000162e+01
4.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.027599999999999980e+01,1.972400000000000020e+01
4.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.053399999999999892e+01,1.946600000000000108e+01
4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.069500000000000028e+01,1.930499999999999972e+01
5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.101800000000000068e+01,1.898199999999999932e+01
5.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.121099999999999852e+01,1.878900000000000148e+01
5.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.153300000000000125e+01,1.846699999999999875e+01
5.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.182300000000000040e+01,1.817699999999999960e+01
5.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.208100000000000307e+01,1.791899999999999693e+01
5.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.233899999999999864e+01,1.766100000000000136e+01
