t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.702100000000000080e+01,2.297899999999999920e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.727899999999999991e+01,2.272100000000000009e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.731200000000000117e+01,2.268799999999999883e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.727899999999999991e+01,2.272100000000000009e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.721499999999999986e+01,2.278500000000000014e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.721499999999999986e+01,2.278500000000000014e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.724699999999999989e+01,2.275300000000000011e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.724699999999999989e+01,2.275300000000000011e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.727899999999999991e+01,2.272100000000000009e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.731200000000000117e+01,2.268799999999999883e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.731200000000000117e+01,2.268799999999999883e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.727899999999999991e+01,2.272100000000000009e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.740800000000000125e+01,2.259199999999999875e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.747299999999999898e+01,2.252700000000000102e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.744000000000000128e+01,2.255999999999999872e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.769800000000000040e+01,2.230199999999999960e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.773000000000000043e+01,2.226999999999999957e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.789199999999999946e+01,2.210800000000000054e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.792399999999999949e+01,2.207600000000000051e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.795599999999999952e+01,2.204400000000000048e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.805300000000000082e+01,2.194699999999999918e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.834299999999999997e+01,2.165700000000000003e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.831099999999999994e+01,2.168900000000000006e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.847200000000000131e+01,2.152799999999999869e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.860099999999999909e+01,2.139900000000000091e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.872899999999999920e+01,2.127100000000000080e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.892299999999999827e+01,2.107700000000000173e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.911599999999999966e+01,2.088400000000000034e+01
2.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.918100000000000094e+01,2.081899999999999906e+01
2.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.937399999999999878e+01,2.062600000000000122e+01
3.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.960000000000000142e+01,2.039999999999999858e+01
3.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.979299999999999926e+01,2.020700000000000074e+01
3.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.992200000000000060e+01,2.007799999999999940e+01
3.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.998600000000000065e+01,2.001399999999999935e+01
3.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.030900000000000105e+01,1.969099999999999895e+01
3.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.053399999999999892e+01,1.946600000000000108e+01
3.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.082400000000000162e+01,1.917599999999999838e+01
3.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.098499999999999943e+01,1.901500000000000057e+01
3.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.124299999999999855e+01,1.875700000000000145e+01
3.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.146900000000000119e+01,1.853099999999999881e+01
4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.166199999999999903e+01,1.833800000000000097e+01
4.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.179100000000000037e+01,1.820899999999999963e+01
4.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.198400000000000176e+01,1.801599999999999824e+01
4.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.224199999999999733e+01,1.775800000000000267e+01
4.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.250000000000000000e+01,1.750000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.262899999999999778e+01,1.737100000000000222e+01
4.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.282200000000000273e+01,1.717799999999999727e+01
4.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.314500000000000313e+01,1.685499999999999687e+01
4.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.340200000000000102e+01,1.659799999999999898e+01
4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.359599999999999653e+01,1.640400000000000347e+01
5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.378900000000000148e+01,1.621099999999999852e+01
5.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.401500000000000057e+01,1.598499999999999943e+01
5.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.417600000000000193e+01,1.582399999999999807e+01
5.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.443399999999999750e+01,1.556600000000000250e+01
5.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.469100000000000250e+01,1.530899999999999750e+01
5.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.491700000000000159e+01,1.508299999999999841e+01
5.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.514300000000000068e+01,1.485699999999999932e+01
5.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.539999999999999858e+01,1.460000000000000142e+01
5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.572299999999999898e+01,1.427700000000000102e+01
5.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.597999999999999687e+01,1.402000000000000313e+01
6.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.617399999999999949e+01,1.382600000000000051e+01
6.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.649600000000000222e+01,1.350399999999999778e+01
6.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.672200000000000131e+01,1.327799999999999869e+01
6.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.691499999999999915e+01,1.308500000000000085e+01
6.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.714099999999999824e+01,1.285900000000000176e+01
6.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.733400000000000318e+01,1.266599999999999682e+01
6.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.759199999999999875e+01,1.240800000000000125e+01
6.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.781700000000000017e+01,1.218299999999999983e+01
6.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.810699999999999932e+01,1.189300000000000068e+01
6.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.826899999999999835e+01,1.173100000000000165e+01
7.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.836500000000000199e+01,1.163499999999999801e+01
7.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.878399999999999892e+01,1.121600000000000108e+01
7.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.888100000000000023e+01,1.111899999999999977e+01
7.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.929999999999999716e+01,1.070000000000000284e+01
7.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.952499999999999858e+01,1.047500000000000142e+01
7.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.965400000000000347e+01,1.034599999999999653e+01
7.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.994400000000000261e+01,1.005599999999999739e+01
7.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.017000000000000171e+01,9.829999999999998295e+00
7.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.046000000000000085e+01,9.539999999999999147e+00
7.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.068599999999999994e+01,9.314000000000000057e+00
8.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.087899999999999778e+01,9.121000000000002217e+00
8.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.116899999999999693e+01,8.831000000000003070e+00
8.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.149099999999999966e+01,8.509000000000000341e+00
8.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.178099999999999881e+01,8.219000000000001194e+00
8.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.203900000000000148e+01,7.960999999999998522e+00
8.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.210399999999999920e+01,7.896000000000000796e+00
8.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.242600000000000193e+01,7.573999999999998067e+00
8.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.258700000000000330e+01,7.412999999999996703e+00
8.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.281300000000000239e+01,7.186999999999997613e+00
8.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.303799999999999670e+01,6.962000000000003297e+00
9.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.329599999999999937e+01,6.704000000000000625e+00
