t,Tref,u,T1,e
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.311200000000000188e+01,1.688799999999999812e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.340200000000000102e+01,1.659799999999999898e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.349900000000000233e+01,1.650099999999999767e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.378900000000000148e+01,1.621099999999999852e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.391799999999999926e+01,1.608200000000000074e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.411099999999999710e+01,1.588900000000000290e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.436899999999999977e+01,1.563100000000000023e+01
2.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.443399999999999750e+01,1.556600000000000250e+01
2.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.475600000000000023e+01,1.524399999999999977e+01
3.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.485300000000000153e+01,1.514699999999999847e+01
3.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.507800000000000296e+01,1.492199999999999704e+01
3.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.536800000000000210e+01,1.463199999999999790e+01
3.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.552900000000000347e+01,1.447099999999999653e+01
3.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.572299999999999898e+01,1.427700000000000102e+01
3.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.597999999999999687e+01,1.402000000000000313e+01
3.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.620600000000000307e+01,1.379399999999999693e+01
3.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.636699999999999733e+01,1.363300000000000267e+01
3.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.668900000000000006e+01,1.331099999999999994e+01
3.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.694700000000000273e+01,1.305299999999999727e+01
4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.710799999999999699e+01,1.289200000000000301e+01
4.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.733400000000000318e+01,1.266599999999999682e+01
4.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.762400000000000233e+01,1.237599999999999767e+01
4.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.788199999999999790e+01,1.211800000000000210e+01
4.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.804299999999999926e+01,1.195700000000000074e+01
4.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.833299999999999841e+01,1.166700000000000159e+01
4.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.862299999999999756e+01,1.137700000000000244e+01
4.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.891299999999999670e+01,1.108700000000000330e+01
4.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.920300000000000296e+01,1.079699999999999704e+01
4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.939600000000000080e+01,1.060399999999999920e+01
5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.959000000000000341e+01,1.040999999999999659e+01
5.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.988000000000000256e+01,1.011999999999999744e+01
5.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.000900000000000034e+01,9.990999999999999659e+00
5.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.026700000000000301e+01,9.732999999999996987e+00
5.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.052400000000000091e+01,9.475999999999999091e+00
5.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.071800000000000352e+01,9.281999999999996476e+00
5.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.103999999999999915e+01,8.960000000000000853e+00
5.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.120100000000000051e+01,8.798999999999999488e+00
5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.136200000000000188e+01,8.637999999999998124e+00
5.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.171699999999999875e+01,8.283000000000001251e+00
6.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.190999999999999659e+01,8.090000000000003411e+00
6.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.216799999999999926e+01,7.832000000000000739e+00
6.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.249000000000000199e+01,7.509999999999998010e+00
6.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.249000000000000199e+01,7.509999999999998010e+00
6.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.281300000000000239e+01,7.186999999999997613e+00
6.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.310300000000000153e+01,6.896999999999998465e+00
6.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.342499999999999716e+01,6.575000000000002842e+00
6.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.361800000000000210e+01,6.381999999999997897e+00
6.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.381199999999999761e+01,6.188000000000002387e+00
6.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.406900000000000261e+01,5.930999999999997385e+00
7.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.429500000000000171e+01,5.704999999999998295e+00
7.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.468200000000000216e+01,5.317999999999997840e+00
7.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.490699999999999648e+01,5.093000000000003524e+00
7.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.526200000000000045e+01,4.737999999999999545e+00
7.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.526200000000000045e+01,4.737999999999999545e+00
7.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.568099999999999739e+01,4.319000000000002615e+00
7.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.593800000000000239e+01,4.061999999999997613e+00
7.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.603499999999999659e+01,3.965000000000003411e+00
7.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.635699999999999932e+01,3.643000000000000682e+00
7.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.648599999999999710e+01,3.514000000000002899e+00
8.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.690500000000000114e+01,3.094999999999998863e+00
8.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.703399999999999892e+01,2.966000000000001080e+00
8.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.732399999999999807e+01,2.676000000000001933e+00
8.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.764600000000000080e+01,2.353999999999999204e+00
8.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.774300000000000210e+01,2.256999999999997897e+00
8.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.796900000000000119e+01,2.030999999999998806e+00
8.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.822699999999999676e+01,1.773000000000003240e+00
8.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.845199999999999818e+01,1.548000000000001819e+00
8.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.871000000000000085e+01,1.289999999999999147e+00
8.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.900000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.925800000000000267e+01,7.419999999999973284e-01
9.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.951599999999999824e+01,4.840000000000017621e-01
9.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.967699999999999960e+01,3.230000000000003979e-01
9.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,4.993500000000000227e+01,6.499999999999772626e-02
9.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.022500000000000142e+01,-2.250000000000014211e-01
9.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.054699999999999704e+01,-5.469999999999970441e-01
9.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.064399999999999835e+01,-6.439999999999983515e-01
9.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.090100000000000335e+01,-9.010000000000033538e-01
9.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.115899999999999892e+01,-1.158999999999998920e+00
9.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.122399999999999665e+01,-1.223999999999996646e+00
1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.154599999999999937e+01,-1.545999999999999375e+00
1.010000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.170700000000000074e+01,-1.707000000000000739e+00
1.020000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.186800000000000210e+01,-1.868000000000002103e+00
1.030000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.212599999999999767e+01,-2.125999999999997669e+00
1.040000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.235199999999999676e+01,-2.351999999999996760e+00
1.050000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.254500000000000171e+01,-2.545000000000001705e+00
1.060000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.280299999999999727e+01,-2.802999999999997272e+00
1.070000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.309300000000000352e+01,-3.093000000000003524e+00
1.080000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.312500000000000000e+01,-3.125000000000000000e+00
1.090000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.344700000000000273e+01,-3.447000000000002728e+00
1.100000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.367300000000000182e+01,-3.673000000000001819e+00
1.110000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.377000000000000313e+01,-3.770000000000003126e+00
1.120000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.402700000000000102e+01,-4.027000000000001023e+00
1.130000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.425300000000000011e+01,-4.253000000000000114e+00
1.140000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.444599999999999795e+01,-4.445999999999997954e+00
1.150000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,5.464000000000000057e+01,-4.640000000000000568e+00
1.160000000000000000e+02,5.000000000000000000e+01,9.426940000000001874e+01,5.489699999999999847e+01,-4.896999999999998465e+00
1.170000000000000000e+02,5.000000000000000000e+01,9.262340000000000373e+01,5.492999999999999972e+01,-4.929999999999999716e+00
1.180000000000000000e+02,5.000000000000000000e+01,8.317360000000007858e+01,5.534899999999999665e+01,-5.348999999999996646e+00
1.190000000000000000e+02,5.000000000000000000e+01,8.081100000000009231e+01,5.541299999999999670e+01,-5.412999999999996703e+00
1.200000000000000000e+02,5.000000000000000000e+01,7.776900000000006230e+01,5.550999999999999801e+01,-5.509999999999998010e+00
1.210000000000000000e+02,5.000000000000000000e+01,7.212200000000004252e+01,5.573499999999999943e+01,-5.734999999999999432e+00
1.220000000000000000e+02,5.000000000000000000e+01,6.576339999999999009e+01,5.599300000000000210e+01,-5.993000000000002103e+00
1.230000000000000000e+02,5.000000000000000000e+01,6.131259999999997490e+01,5.615400000000000347e+01,-6.154000000000003467e+00
1.240000000000000000e+02,5.000000000000000000e+01,5.616300000000006776e+01,5.634799999999999898e+01,-6.347999999999998977e+00
